vulnerable	傷つきやすい／もろい／弱い立場の
heed	注意を払う／気をつける
bystander	傍観者／居合わせた人
congestion	混雑／渋滞
discard	捨てる／処分する
blaze	炎／燃えさかる火／燃え立つ
clumsy	不器用な／ぎこちない
eliminate	取り除く／排除する
acknowledge	認める／感謝する
edible	食用に適した／食べられる
cultivate	耕す／栽培する／育てる・磨く
overdue	期限を過ぎた／延滞した
enrollment	登録／入学・入会（者数）
enlist	入隊する／協力を求める・得る
anarchy	無政府状態／混乱状態
reluctant	気が進まない／しぶしぶの
fragile	壊れやすい／もろい／か弱い
evaluate	評価する／見積もる
resume	再開する／履歴書（レジュメ）
weary	疲れ果てた／うんざりした
custody	拘留／身柄の保護／親権
coalition	連立／同盟
tranquil	静かな／穏やかな
enforce	施行する／実行させる／強制する
disguise	変装させる／偽る／変装
surplus	余り／余剰
petition	嘆願（書）／要望書／嘆願する
habitual	習慣的な／常習の
vacant	空いている／空席の／空室の
daring	大胆な／思い切った
thrive	繁栄する／うまくやる／すくすく育つ
compartment	区画／仕切られた部分
accelerate	加速する／速度を上げる
descendant	子孫／後裔
decay	腐る／衰退する／腐敗・衰退
refine	洗練する／精製する
swell	膨らむ／増大する
segment	部分／区分／一片
bribe	賄賂／賄賂を送る
obsessed	取りつかれた／頭がいっぱいの
uphold	支持する／維持する
overthrow	転覆させる／打倒する
itinerary	旅程／行程表
faint	かすかな／気絶する／気絶
explicit	明白な／はっきり述べられた
lenient	寛大な／甘い
contemplate	熟考する／じっと考える
presume	推定する／〜と思い込む
bulky	かさばる／大きくて扱いにくい
concede	認める／譲歩する
shrug	肩をすくめる
reconstruct	再建する／復元する
barricade	バリケード／障害物でふさぐ
extravagant	浪費する／ぜいたくな／大げさな
reconcile	和解させる／調和させる
exempt	免除された／免除する
stroll	ぶらぶら歩く／散歩する／散歩
notorious	悪名高い／評判の悪い
enhance	高める／強化する
signify	意味する／示す
hectic	非常に忙しい／慌ただしい
vivid	鮮やかな／生き生きとした
intact	無傷の／完全なままの
conform	従う／一致する／順応する
sway	揺れる／揺らす／影響を与える
hasty	早まった／軽率な／急いだ
rotate	回転する／交代でする
decisive	決定的な／断固とした
trivial	ささいな／取るに足らない
detain	拘留する／引き止める
vicious	残忍な／悪質な／悪意のある
revolve	回転する／巡る
summon	召喚する／呼び出す／呼び集める
corrupt	堕落した／腐敗した／買収する
spontaneous	自発的な／自然に起こる
stale	古くなった／鮮度の落ちた／マンネリの
proclaim	宣言する／公表する
cherish	大事にする／胸に抱く
fictitious	架空の／偽りの
rash	軽率な／早まった／発疹
serene	穏やかな／静かな
ransom	身代金／身代金を払って解放する
witty	機知に富んだ／気の利いた
thaw	解ける／雪解けする／解凍する
adequate	十分な／適切な
minor	ささいな／重要でない／未成年者
obstacle	障害／妨げ
mandatory	義務的な／強制の
nutritious	栄養のある
impractical	非現実的な／実用的でない
optimistic	楽観的な
perspective	観点／見方／遠近法
tackle	取り組む／タックルする
merit	長所／功績／価値
halt	停止する／止める／停止
designate	指名する／指定する
bankrupt	破産した／破産者
abundant	豊富な／たくさんの
exceptional	例外的な／非常に優れた
integrate	統合する／溶け込ませる
assess	評価する／査定する
raid	急襲／ガサ入れ／急襲する
betray	裏切る／漏らす
altitude	高度／標高
offset	相殺する／埋め合わせる
discontent	不満／不満な
inefficient	非効率的な
unanimously	満場一致で／全会一致で
prestigious	名声のある／権威ある
complication	合併症／厄介な問題・複雑化
milestone	画期的な出来事／重要な節目
portray	描写する／描く／演じる
fatality	死亡者／死亡事故
tempting	魅力的な／誘惑的な
inmate	収容者／囚人・入院患者など
detour	回り道／迂回路
dedicated	献身的な／専用の
relic	遺物／名残／遺跡
compulsory	義務的な／強制の
dehydration	脱水（症）
liberate	解放する／自由にする
perilous	危険な／危険に満ちた
biographical	伝記の／伝記的な
filthy	汚い／不潔な
accord	一致／合意／与える／一致する
binding	拘束力のある／縛る
comply	従う／応じる
stunned	ぼう然とした／ショックを受けた
invalid	無効な／病弱な・病人
intruder	侵入者
unveil	明らかにする／公開する／ベールを取る
tedious	退屈な／長くてうんざりする
clarify	明らかにする／はっきりさせる
commend	ほめる／称賛する／推薦する
intrigued	好奇心をそそられた／興味津々の
wither	しおれる／弱まる・しぼむ
escort	護衛（する）／付き添い
scarcity	不足／欠乏
precision	正確さ／精度
gulp	ごくりと飲む／息をのむ
interrogate	尋問する／問いただす
composed	落ち着いた／平静な
vocation	天職／職業への適性・使命感
correlation	相関関係
obsolete	時代遅れの／廃れた
skeptical	懐疑的な／疑い深い
unwittingly	知らず知らずに／無意識に
abridged	要約版の／短縮された
irresistible	抵抗できないほど魅力的な
correspondence	文通／往復書簡／一致・対応
destined	運命づけられた／〜行きの
perish	死ぬ／滅びる
expire	期限が切れる／失効する
spacious	広々とした
transmit	送る／伝える・伝送する
encounter	出会う／直面する／出会い
conventional	従来型の／慣習的な
lease	賃貸借契約／賃貸する
division	分割／区分／部門
strain	負担／緊張／（植物・動物の）系統・種類
administer	管理する／運営する／（薬を）投与する
notify	通知する／知らせる
transplant	移植する／移植
certify	証明する／認定する
assumption	仮定／前提／思い込み
provoke	引き起こす／怒らせる／刺激する
literacy	読み書き能力／識字
retreat	退却する／後退する／静養・研修の合宿
novelty	目新しさ／珍しいもの・新奇な商品
exclusive	排他的な／独占的な／高級な
mimic	まねる／模倣する
resent	憤慨する／腹を立てる
prejudice	偏見／先入観
seize	つかむ／押収する／差し押さえる
divine	神の／神聖な／見抜く・予見する
incorporate	組み込む／法人化する／取り入れる
surpass	上回る／超える
impulse	衝動／刺激
biased	偏った／偏見をもった
barren	不毛の／実りのない
